name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_name,addresses_district_name,values_value,geo_epgs_25831_x,geo_epgs_25831_y
Hotel Casa Bonay - HB-004703,Gran Via de les Corts Catalanes,700,la Dreta de l'Eixample,Eixample,935458070,430971.17978374514,4582784.213135202
Hotel Catalonia Portal de l'Àngel - HB-004036,Av Portal de l'Àngel,17,el Barri Gòtic,Ciutat Vella,933184141,430851.1351332993,4581894.173795035
Angli-78 Hotel-Apartament - HB-004025,C Anglí,78,Sarrià,Sarrià-Sant Gervasi,934178439,426585.1961326474,4584047.0378939
Aparthotel Acacia - HB-004013,C Comte d'Urgell,194,l'Antiga Esquerra de l'Eixample,Eixample,934540737,429033.31674567866,4582172.286704492
Hotel Melià Barcelona Sarrià- HB-003463,Av Sarrià,50,les Corts,Les Corts,934106060,428269.42209540453,4582526.121090869
Hotel Exe Cristal Palace - HB-000372,C Diputació,257,la Dreta de l'Eixample,Eixample,933930970,430280.9935773788,4582368.524049294
Hotel Room Mate Anna - HB-004733,C Aragó,271,la Dreta de l'Eixample,Eixample,935959555,430236.9019358994,4582706.314744491
Hotel Cantón - HB-002816,C Nou de Sant Francesc,40,el Barri Gòtic,Ciutat Vella,933173019,431270.81321466377,4581105.679576157
Hotel H10 Madison- HB-004807,C Doctor Joaquim Pou,2,el Barri Gòtic,Ciutat Vella,932382137,431061.51207641157,4581951.769275948
Motel One Barcelona-Ciutadella - HB-004822,Pg Pujades,11,el Parc i la Llacuna del Poblenou,Sant Martí,936261900,431832.8164900519,4582388.995165969
Hotel chic&basic Velvet - HB-003947,C Consell de Cent,74,la Nova Esquerra de l'Eixample,Eixample,934234647,428938.22987330693,4581209.439081094
Hotel Catalonia Sagrada Família - HB-003791,C Aragó,569,el Camp de l'Arpa del Clot,Sant Martí,932458905,431880.2046387844,4584319.042349316
Hotel Internacional Rambla Atiram - HB-000035,C Rambla,78,el Barri Gòtic,Ciutat Vella,935151723,430899.49376545905,4581396.3046638025
Hotel Catalonia Atenas - HB-003809,Av Meridiana,151,el Camp de l'Arpa del Clot,Sant Martí,932322011,432016.524237164,4584702.393638752
Aparthotel Bonanova Suite - HB-003863,C Bisbe Sivilla,7,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,932531563,427793.56537533266,4584133.813307824
Hotel Glòries - HB-004012,C Padilla,173,el Fort Pienc,Eixample,932650808,431706.3844703129,4583614.01219002
Hotel Trànsit - HB-003839,C Rector Triadó,82,Hostafrancs,Sants-Montjuïc,934246013,428343.11568386335,4581095.523067373
Pol & Grace Hotel - HB-004074,C Guillem Tell,49,el Putxet i el Farró,Sarrià-Sant Gervasi,934154000,428762.2710545509,4583710.955637158
Hotel Catalonia Barcelona Plaza - HB-003967,Pl Espanya,6,Hostafrancs,Sants-Montjuïc,934262600,428786.8494344121,4580787.917163807
Hotel Catalonia Ramblas - HB-004379,C Pelai,28,el Raval,Ciutat Vella,933168400,430342.52107539435,4581904.626588623
Hotel Casa Camper Barcelona - HB-004209,C Elisabets,11,el Raval,Ciutat Vella,933426280,430476.79782440804,4581641.762181545
Hotel Toledano - HB-000480,C Rambla,138,el Barri Gòtic,Ciutat Vella,933010872,430656.744033181,4581844.702237997
Hotel Barcelona Princess - HB-004302,Avinguda Diagonal,1,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,933561000,434690.52126972884,4584678.690396701
Hotel Condado - HB-000066,C Aribau,201,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932002311,428900.7478517799,4583035.9432504475
Hotel Rialto - HB-000026,C Ferran,42,el Barri Gòtic,Ciutat Vella,932689070,431142.4333814841,4581503.717665026
Hotel Sunotel Club Central - HB-004564,C València,157,l'Antiga Esquerra de l'Eixample,Eixample,934520533,429507.7221343862,4582172.2698039
Hotel Boutique Hostemplo - HB-004686,Ptge Gaiolà,19,la Sagrada Família,Eixample,934765575,430903.0112724969,4583630.373867256
Hotel Renaissance Barcelona - HB-002836,C Pau Claris,122,la Dreta de l'Eixample,Eixample,932723810,430383.76451065077,4582696.393871548
Hotel AinB - HB-004507,C Muntaner,4,Sant Antoni,Eixample,934395664,430020.7552395932,4581730.030226028
Hotel Atlas - HB-004375,C Cardenal Casañas,11,el Barri Gòtic,Ciutat Vella,933041889,430885.19688459724,4581492.994717191
Hotel Bcn Urban Gran Rosellon - HB-004681,C Rosselló,174,l'Antiga Esquerra de l'Eixample,Eixample,935480998,429440.3016923206,4582636.760257792
Hotel Casa Maca Guest House 3 - HB-004639,C Bruc,146,la Dreta de l'Eixample,Eixample,644200680,430261.0455980112,4583204.502889442
BarcelonaGo Hotel & Apartments - HB-004599,C Lepant,143,el Fort Pienc,Eixample,932317552,431826.6293638617,4583308.708192201
Hotel España - HB-000073,C Sant Pau,9,el Raval,Ciutat Vella,935500000,430835.9554091639,4581270.07688283
Aparthotel Duquesa Suites - HB-004711,Pl Antonio López,5,el Barri Gòtic,Ciutat Vella,937379125,431559.2323518292,4581392.807832137
Hotel Ónix Fira - HB-003971,C Llança,30,la Nova Esquerra de l'Eixample,Eixample,934260087,428909.25720875885,4580955.088557711
Hotel Rey Juan Carlos I - HB-003961 *Temporalment tancat,Av Diagonal,661,la Maternitat i Sant Ramon,Les Corts,933644040,425486.5763728202,4581483.379664185
Hotel The One Barcelona - HB-004745,C Provença,277,la Dreta de l'Eixample,Eixample,932142070,430044.51872901566,4583074.692111003
Hotel Banys Orientals - HB-004121,C Argenteria,37,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932688460,431443.6024158642,4581688.159926167
Aparthotel Nàpols - HB-004030,C Nàpols,116,el Fort Pienc,Eixample,932464573,431415.5834252073,4582978.682328454
Hotel NH Collection Barcelona Pódium - HB-003985,C Bailèn,4,la Dreta de l'Eixample,Eixample,932650202,431254.0850776218,4582572.421259135
Hotel Claris - HB-003933,C Pau Claris,150,la Dreta de l'Eixample,Eixample,934876262,430197.88127762574,4582887.095972756
Hotel Catalonia Barcelona 505 - HB-003795,C Muntaner,505,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,932128012,427886.11352945544,4583885.70474717
Hotel Roma Reial - HB-000063,Pl Reial,11,el Barri Gòtic,Ciutat Vella,933020366,431084.7389884138,4581279.10184555
Hotel Holiday Inn Express Barcelona City 22@ - HB-004325,C Pallars,203,el Poblenou,Sant Martí,934338400,432953.3693477369,4583648.472103424
Park Hotel - HB-000082,Av Marquès de l'Argentera,11,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,933196000,431804.10290163435,4581735.287539146
Hotel Dalia Ramblas - HB-004502,C Sant Pau,22,el Raval,Ciutat Vella,934120718,430837.060394172,4581290.740681369
Hotel Oasis - HB-002279,Pla Palau,17,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,933194396,431831.1036729794,4581568.300174284
Hotel Everest - HB-000839,Trav Gràcia,441,el Baix Guinardó,Horta-Guinardó,934369800,430906.11601273675,4584748.8079612125
Hotel Barbarà - HB-003728,C Marquès de Barberà,22,el Raval,Ciutat Vella,933298453,430725.7575300259,4581030.091202725
Hotel Acta Azul - HB-003944,G.V. Corts Catalanes,327,Hostafrancs,Sants-Montjuïc,934255161,428582.3234804701,4580518.517750599
Hotel Barcelona Century - HB-003970,C València,154,l'Antiga Esquerra de l'Eixample,Eixample,934534400,429334.88685632596,4581972.520716977
Hotel Atlantis by Atbcn - HB-003914,C Pelai,20,el Raval,Ciutat Vella,933189012,430297.84350843605,4581910.751519645
Hotel Monegal - HB-000488,C Pelai,62,el Raval,Ciutat Vella,933026566,430577.19180027617,4581874.978926212
Aparthotel Citadines Barcelona Ramblas - HB-003992,C Rambla,122,el Barri Gòtic,Ciutat Vella,932701111,430724.2734059222,4581702.853636139
Hotel Barcelona Apolo - HB-003988,Av Paral·lel,57,el Poble-sec,Sants-Montjuïc,933430000,430620.38762374385,4580694.851453623
Hotel Ilunion Almirante - HB-003906,Via Laietana,42,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932683020,431118.185526504,4581946.841335587
Hotel Adagio - HB-000446,C Ferran,21,el Barri Gòtic,Ciutat Vella,933189061,431023.403560914,4581395.462697324
Hotel Silken Ramblas - HB-003951,C Pintor Fortuny,13,el Raval,Ciutat Vella,933426180,430603.88059588935,4581608.051536648
Hotel Abbot - HB-003923,Av Roma,23,la Nova Esquerra de l'Eixample,Eixample,934300405,428509.40998851403,4581464.528500956
Hotel Balmes - HB-003888,C Mallorca,216,l'Antiga Esquerra de l'Eixample,Eixample,934456500,429709.7900960945,4582527.251382342
Hotel Melia Barcelona Sky - HB-004358,C Pere IV,272,el Poblenou,Sant Martí,933672050,433186.4009803291,4584168.772075232
Hotel SERHS del Port - HB-004303,Av Paral·lel,40,el Raval,Ciutat Vella,932308500,430800.8948631999,4580720.036244766
Hotel NH Barcelona Stadium - HB-001969,Trav Corts,150,la Maternitat i Sant Ramon,Les Corts,933399050,427012.05754404527,4581473.859089918
Hotel Catalunya - HB-000047,C Santa Anna,24,el Barri Gòtic,Ciutat Vella,933019150,430750.35511549714,4581881.978893412
Hotel Iberostar Paseo de Gracia - HB-004805,Pl Catalunya,10,la Dreta de l'Eixample,Eixample,900811676,430552.28798589116,4582148.599251043
Hotel Autohogar - HB-000022,Av Paral·lel,64,el Raval,Ciutat Vella,934439850,430543.3023639413,4580740.504992117
Hotel Zenit Barcelona - HB-000386,C Santaló,8,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932411800,428681.52199987316,4582952.189021324
Hotel Suizo - HB-000002,Pl Àngel,12,el Barri Gòtic,Ciutat Vella,933106108,431297.59683457337,4581691.644862518
Hotel The Wittmore - HB-004730,C Riudarenes,7,el Barri Gòtic,Ciutat Vella,935500885,431410.71379880566,4581378.120945384
Hotel Catalonia Diagonal Centro - HB-003918,C Balmes,142,la Dreta de l'Eixample,Eixample,934159090,429509.8199765822,4582828.208404512
Hotel Comercio - HB-000050,Nou de Zurbano,7,el Barri Gòtic,Ciutat Vella,933187374,431092.4459287743,4581204.433575923
Hotel NH Sants Barcelona - HB-003542,C Numància,72,les Corts,Les Corts,933224451,427913.3667088958,4581812.135981984
HCC Hotel St. Moritz - HB-003891,C Diputació,262,la Dreta de l'Eixample,Eixample,934121500,430439.06901506707,4582493.701860495
Hotel Actual - HB-004290,C Rosselló,238,la Dreta de l'Eixample,Eixample,935520550,429872.9723983925,4583063.29918661
Hotel Viladomat - HB-004071,C Viladomat,197,la Nova Esquerra de l'Eixample,Eixample,932296565,429084.4713481138,4581699.431329548
Hotel Neri - HB-004130,C Sant Sever,5,el Barri Gòtic,Ciutat Vella,933040655,431061.39114386286,4581628.31943245
Hotel Acta Atrium Palace - HB-004270,G.V. Corts Catalanes,656,la Dreta de l'Eixample,Eixample,933428000,430669.5067763161,4582489.171952019
Hotel Hesperia Barcelona Presidente - HB-001911,Av Diagonal,570,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932002111,428856.55731813953,4582861.240945441
Hotel Royal Passeig de Gràcia - HB-004545,Pg Gràcia,84,la Dreta de l'Eixample,Eixample,937370010,429982.09537162795,4582901.611786533
Hotel Soho - HB-004412,G.V. Corts Catalanes,543,l'Antiga Esquerra de l'Eixample,Eixample,935529610,429757.6928097198,4581668.889768153
Hotel Ohla - HB-004451,Via Laietana,49,el Barri Gòtic,Ciutat Vella,933415050,430969.24795151595,4582057.950220982
Hotel Annex - HB-000947,C Jaume I,8,el Barri Gòtic,Ciutat Vella,933106208,431264.8991651115,4581629.6674607275
Hotel Avenida Palace - HB-000016,G.V. Corts Catalanes,605,la Dreta de l'Eixample,Eixample,933019600,430389.9315352654,4582287.692860433
"Alexandra Barcelona, Curio Collection by Hilton Hotel - HB-003851",C Mallorca,251,la Dreta de l'Eixample,Eixample,934677166,429905.10015151824,4582749.674252853
Hotel California - HB-000101,C Rauric,14,el Barri Gòtic,Ciutat Vella,933177766,431043.8993647718,4581380.195850511
Hotel Niu Barcelona - HB-004756,Rbla Raval,8,el Raval,Ciutat Vella,936550255,430492.46077478223,4581144.945033747
Hotel AC Irla - HB-004304,C Calvet,40,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932416210,428397.64276032464,4582943.88404235
Hotel Colors - HB-004117,C Campoamor,79,Horta,Horta-Guinardó,932749920,429308.3289682444,4587430.515495151
Hotel Occidental Atenea Mar - HB-004204,Passeig de Garcia Fària,37,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,935316040,434118.2100133685,4583734.455493709
Hotel SB Icària Barcelona - HB-004247,Av Icària,195,la Vila Olímpica del Poblenou,Sant Martí,932218200,433069.09140100516,4582755.427837783
Hotel NH La Maquinista - HB-004210,C Sao Paulo,33,el Bon Pastor,Sant Andreu,932745370,433156.9345389155,4587833.938347267
Hotel Silken Concordia - HB-004220,Av Paral.lel,115,el Poble-sec,Sants-Montjuïc,933249180,429854.3000708646,4580708.129165897
Hotel Medinaceli - HB-004353,Pl Duc de Medinaceli,8,el Barri Gòtic,Ciutat Vella,934817725,431320.2987411787,4581068.044953567
Hotel Market - HB-004360,Ptge Sant Antoni Abat,10,Sant Antoni,Eixample,933251205,429809.7234017943,4581199.654358672
Hotel Sixtytwo Barcelona - HB-004200,Pg Gràcia,62,la Dreta de l'Eixample,Eixample,932724180,430151.34576516284,4582717.027622312
Hotel Pestana Arena Barcelona - HB-004345,C Consell de Cent,51,Hostafrancs,Sants-Montjuïc,932893921,428591.37430339574,4580938.028657236
Hotel Peninsular - HB-003154,C Sant Pau,34,el Raval,Ciutat Vella,933023138,430807.4576943178,4581230.824260125
Hotel Paral·lel - HB-003901,C Poeta Cabanyes,5,el Poble-sec,Sants-Montjuïc,933291104,430257.6451542794,4580680.335520685
Hotel Ilunion Bel Art - HB-004259,C Lepant,406,el Baix Guinardó,Horta-Guinardó,934335440,430589.4231144139,4584623.805115184
Leonardo Hotel Barcelona Las Ramblas - HB-000085,C Junta de Comerç,8,el Raval,Ciutat Vella,933188970,430695.98476688284,4581285.621702439
Hotel Bonanova Park - HB-003296,Capità Arenas,51,Sarrià,Sarrià-Sant Gervasi,932040900,426832.7280065283,4582765.966443037
Hotel Pere IV - HB-004233,C Pallars,128,el Parc i la Llacuna del Poblenou,Sant Martí,933209650,432487.6289732881,4583147.719895191
Aparthotel Bertran - HB-003804,C Bertran,150,el Putxet i el Farró,Sarrià-Sant Gervasi,932127550,428101.4272690967,4584674.905097229
Hotel Regina - HB-000018,C Bergara,2,la Dreta de l'Eixample,Eixample,933013232,430431.9001989843,4581941.166250452
Hotel H10 Montcada - HB-004328,Via Laietana,24,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932688570,431309.06871085806,4581751.347282206
H10 Universitat - HB-004211,Rda Universitat,21,la Dreta de l'Eixample,Eixample,933427850,430324.4762231963,4582037.962283768
Hotel 1898 - HB-004349,C Rambla,109,el Raval,Ciutat Vella,935529552,430702.1796286808,4581664.153009295
Hotel H10 Marina Barcelona - HB-004190,Av Bogatell,64,la Vila Olímpica del Poblenou,Sant Martí,933097917,432486.4070728449,4582710.678158534
Hotel Pelayo - HB-003847,C Pelai,9,la Dreta de l'Eixample,Eixample,933023727,430315.46633302904,4581930.527330296
Hotel Lleó - HB-000088,C Pelai,22,el Raval,Ciutat Vella,933181312,430307.518414653,4581909.464534198
Hotel Silken Sant Gervasi - HB-004054,C Sant Gervasi de Cassoles,26,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,932531740,428020.10219409876,4584043.072241018
Hotel Vincci Marítimo - HB-004286,Carrer de Llull,340,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,933562600,434182.26326832327,4584362.019386004
Hotel Le Meridien Barcelona - HB-000039,C Rambla,111,el Raval,Ciutat Vella,933186200,430679.4888403745,4581707.348583087
NH Collection Barcelona Gran Hotel Calderón - HB-002059,Rbla Catalunya,26,la Dreta de l'Eixample,Eixample,933010000,430282.9715687351,4582317.4535480095
Hotel Condal - HB-000051,C Boqueria,23,el Barri Gòtic,Ciutat Vella,933181882,430955.920206844,4581445.064199437
Hotel Vilamarí - HB-004177,C Vilamarí,34,Sant Antoni,Eixample,932890909,429127.11109715916,4580922.998916698
Hotel Sansi Diputació - HB-004194,C Diputació,234,la Dreta de l'Eixample,Eixample,933040707,430147.0299130797,4582206.554602046
Hotel Jazz - HB-004227,C Pelai,3,la Dreta de l'Eixample,Eixample,935529696,430259.030880152,4581937.675248905
Hotel DingDong Putxet - HB-000328,C Ballester,11,el Putxet i el Farró,Sarrià-Sant Gervasi,932120350,428507.708429676,4584172.749079847
Hotel HCC Taber - HB-000317,C Aragó,256,la Dreta de l'Eixample,Eixample,934873887,430034.90094953455,4582463.6010707915
Hotel Regàs - HB-003850,C Regàs,10,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932380092,429122.9876222744,4583367.698060959
Hotel Evenia Rosselló - HB-004183,C Rosselló,191,l'Antiga Esquerra de l'Eixample,Eixample,932386355,429355.85250672075,4582666.974945373
Hotel Continental - HB-000053,C Rambla,138,el Barri Gòtic,Ciutat Vella,934457657,430656.744033181,4581844.702237997
